dstport,protocol,tag
40945,tcf,sv_P1
19927,ipcomp,sv_P2
57077,stp,sv_P3
27779,aris,sv_P4
44539,nsh,email
44408,leaf-2,sv_P3
31842,mux,email
36362,fire,sv_P2
61857,ipv6-opts,sv_P2
13498,emcon,sv_P2
13222,idrp,sv_P3
63788,mux,sv_P4
41220,crtp,sv_P1
20172,xnet,sv_P4
47880,idpr-cmtp,sv_P5
20217,dgp,sv_P4
41898,ipcv,email
17094,bbn-rcc-mon,sv_P5
49075,st,sv_P3
48690,il,sv_P3
47659,rsvp-e2e-ignore,sv_P1
4755,,sv_P3
44708,cftp,email
62325,ax.25,sv_P2
37622,bbn-rcc-mon,sv_P4
22779,dgp,sv_P2
55308,larp,sv_P4
60146,gre,sv_P4
33947,leaf-2,sv_P2
24591,ethernet,sv_P2
53037,scps,email
54600,trunk-2,sv_P2
14332,xnet,sv_P5
37855,compaq-peer,sv_P3
58784,merit-inp,email
14830,rvd,sv_P2
47508,aggfrag,sv_P4
32302,udp,email
64102,vines,sv_P3
24739,irtp,email
53155,ethernet,sv_P2
53936,iatp,sv_P4
49300,pup,sv_P1
16472,rohc,sv_P4
8454,igmp,sv_P5
25519,swipe (deprecated),sv_P5
18327,idpr,sv_P1
36487,wb-mon,sv_P5
50036,i-nlsp,email
29722,dsr,email
21077,ipv6-route,sv_P3
12058,egp,sv_P2
9116,tcf,sv_P5
31423,tp++,sv_P3
34539,stp,sv_P4
53543,wb-mon,sv_P5
7426,idpr,sv_P3
23126,dccp,sv_P1
27715,iso-tp4,sv_P4
47977,sat-mon,sv_P1
32077,,sv_P3
42264,pup,sv_P1
4839,xnet,sv_P2
44666,scc-sp,sv_P5
17009,skip,sv_P2
62290,,sv_P1
32515,visa,sv_P5
35149,gmtp,sv_P4
22902,qnx,email
57103,esp,sv_P3
9749,smp,sv_P3
42484,,sv_P2
52142,egp,email
25752,argus (deprecated),sv_P2
37229,ddx,email
13201,shim6,sv_P2
23626,ah,sv_P4
65248,snp,sv_P5
1287,,sv_P3
29779,,email
35641,wsn,sv_P2
51116,chaos,sv_P5
62710,min-ipv4,sv_P4
54943,esp,email
59713,hip,sv_P5
32268,nvp-ii,sv_P3
54488,snp,email
8259,,sv_P1
33681,,sv_P3
27726,prm,sv_P4
46361,ospfigp,email
35947,tcp,sv_P4
20966,idrp,sv_P4
44682,rsvp-e2e-ignore,sv_P3
63302,a/n,sv_P3
49355,sdrp,sv_P1
17146,ipv6,sv_P5
37819,leaf-1,sv_P4
17746,br-sat-mon,sv_P3
9803,egp,sv_P3
48641,,sv_P4
11379,crtp,sv_P4
12087,i-nlsp,sv_P5
45427,hmp,sv_P2
62486,egp,sv_P5
17330,chaos,sv_P3
7443,swipe (deprecated),sv_P2
58432,cpnx,sv_P4
46553,argus (deprecated),sv_P2
34831,etherip,email
54662,bbn-rcc-mon,sv_P3
64602,visa,sv_P5
26773,argus (deprecated),email
827,pim,email
42253,ethernet,sv_P2
40492,igmp,sv_P1
5924,ifmp,sv_P2
19722,shim6,sv_P1
44792,ipx-in-ip,sv_P4
49486,ipcomp,email
13950,dccp,sv_P1
21006,uti,sv_P3
48090,chaos,sv_P2
36928,cbt,sv_P1
4569,wb-expak,sv_P3
57775,gre,sv_P1
49082,wb-expak,email
4216,mfe-nsp,sv_P3
15684,ipcv,sv_P1
42748,ah,sv_P1
14351,a/n,sv_P1
24603,idpr,sv_P5
56183,udp,sv_P1
61398,pim,sv_P5
61781,crudp,sv_P2
55812,compaq-peer,sv_P1
58270,igp,sv_P1
3064,iso-ip,sv_P5
27697,sctp,email
40950,mpls-in-ip,sv_P1
1434,visa,sv_P2
50197,cftp,sv_P2
41850,ipv6-route,sv_P1
43227,ipv6-icmp,sv_P2
41628,hmp,sv_P1
46713,etherip,sv_P1
28319,emcon,sv_P4
65167,scps,sv_P3
28193,vmtp,sv_P3
16229,wsn,sv_P5
6855,ddp,sv_P1
61667,a/n,sv_P2
33570,hopopt,sv_P1
898,cftp,email
36603,srp,sv_P2
38902,visa,sv_P4
39522,swipe (deprecated),sv_P5
13613,sat-expak,sv_P3
30800,micp (deprecated),sv_P2
57410,mux,sv_P3
5228,esp,sv_P2
53492,fire,email
17221,sm (deprecated),sv_P4
13304,stp,sv_P2
37570,pim,sv_P5
17879,igp,sv_P4
56821,ddx,email
51166,sat-expak,sv_P4
53121,ospfigp,sv_P5
14027,,sv_P3
5863,emcon,email
63701,ddx,sv_P5
6436,ipx-in-ip,sv_P2
22881,leaf-2,sv_P5
36785,cbt,sv_P2
7231,rdp,sv_P4
1015,tp++,sv_P2
25478,br-sat-mon,sv_P3
18942,ospfigp,sv_P4
42032,leaf-2,sv_P5
32438,cftp,sv_P1
29550,ipv6-opts,sv_P2
36444,br-sat-mon,sv_P4
29653,ippc,sv_P1
26504,ipv6,sv_P2
54616,xnet,sv_P2
31083,mpls-in-ip,sv_P1
14082,ipv6-icmp,sv_P5
64260,rvd,email
58898,gre,sv_P5
30626,sctp,sv_P4
143,iso-ip,sv_P4
2963,mfe-nsp,sv_P5
46338,snp,sv_P4
23042,sun-nd,email
42849,narp,sv_P2
46757,igmp,sv_P5
17699,ptp,sv_P1
45530,sdrp,sv_P5
18084,ah,email
51662,leaf-2,sv_P5
25629,pvp,sv_P1
49016,kryptolan,sv_P3
52964,i-nlsp,sv_P2
30059,aggfrag,sv_P1
20873,sun-nd,sv_P5
29255,sm (deprecated),sv_P2
9958,fire,email
23184,isis over ipv4,sv_P3
14711,gmtp,sv_P4
11147,sdrp,sv_P5
61708,encap,sv_P2
25987,aris,sv_P3
44963,egp,sv_P5
9386,secure-vmtp,email
25257,vmtp,sv_P5
62718,scc-sp,email
11185,i-nlsp,sv_P5
14579,snp,sv_P5
42952,uti,sv_P4
8947,chaos,sv_P3
56021,wb-expak,sv_P4
24928,skip,sv_P1
24779,emcon,sv_P1
55387,aggfrag,sv_P2
63070,ipv6,sv_P5
26457,mfe-nsp,sv_P2
15405,ax.25,sv_P5
50713,,sv_P2
12424,etherip,sv_P1
40352,rsvp,sv_P5
20115,ippc,sv_P4
22728,idpr-cmtp,email
46651,fc,sv_P4
53379,sdrp,sv_P1
35515,ethernet,sv_P3
16049,pup,email
46189,ipx-in-ip,sv_P4
4972,gmtp,sv_P5
40309,rsvp-e2e-ignore,sv_P4
44038,iso-ip,email
28569,aggfrag,sv_P2
34869,,email
42947,micp (deprecated),sv_P4
33797,tcf,sv_P5
53012,bna,sv_P3
4471,emcon,sv_P5
60894,xtp,email
60316,idrp,sv_P2
46370,3pc,sv_P2
39678,ipv6,sv_P3
35671,ethernet,sv_P1
7344,mobility header,sv_P5
24873,secure-vmtp,sv_P5
20831,sun-nd,email
52595,fire,sv_P4
29466,aggfrag,sv_P5
2841,udplite,sv_P5
38425,sps,sv_P1
24072,iplt,sv_P1
63677,esp,sv_P5
59912,srp,sv_P5
54439,wb-expak,sv_P5
30156,xtp,sv_P4
39905,hip,sv_P4
58786,iptm,sv_P5
39694,min-ipv4,sv_P5
54577,tp++,email
36051,vines,sv_P2
26014,a/n,sv_P4
38536,visa,sv_P2
50792,narp,email
9007,ipv4,sv_P3
48547,sm (deprecated),sv_P1
37706,ipcomp,sv_P4
902,tcf,sv_P3
53919,idpr,sv_P1
12653,tcf,sv_P1
23375,ah,sv_P1
31966,sat-expak,sv_P4
1154,ipv6-route,sv_P2
24851,il,sv_P1
24723,visa,sv_P5
53402,ipcomp,sv_P4
45775,esp,sv_P2
61648,sun-nd,sv_P1
60636,sprite-rpc,sv_P3
34951,mpls-in-ip,sv_P3
51279,pup,sv_P5
9810,xns-idp,sv_P4
49535,secure-vmtp,sv_P4
5558,crtp,sv_P4
52504,min-ipv4,sv_P3
39962,aggfrag,sv_P1
26179,sat-mon,sv_P4
49749,iplt,sv_P3
54007,etherip,sv_P5
1873,idpr,sv_P4
5401,snp,sv_P2
59582,tlsp,sv_P2
24521,nsh,email
42235,isis over ipv4,sv_P2
29621,aris,sv_P3
8505,ipip,sv_P5
51336,dcn-meas,sv_P4
26092,aris,sv_P3
49123,,sv_P5
57138,hmp,sv_P5
56763,sps,sv_P5
1723,smp,sv_P1
58354,mpls-in-ip,sv_P5
30240,a/n,email
49034,igp,sv_P3
41709,pnni,sv_P2
35238,udp,sv_P1
10312,ggp,sv_P5
64362,nsh,email
4918,ddx,sv_P3
52053,cbt,sv_P4
15019,idrp,sv_P3
13575,skip,sv_P4
13947,mpls-in-ip,sv_P3
20053,aggfrag,sv_P2
39726,pgm,sv_P3
18630,scc-sp,sv_P2
16105,esp,email
32797,il,sv_P4
55975,dccp,sv_P1
4939,sps,sv_P5
40532,crudp,sv_P2
24890,prm,sv_P1
3311,snp,email
52019,skip,sv_P4
127,micp (deprecated),email
3714,sps,email
49409,vmtp,email
61040,iso-ip,email
41382,ipcomp,sv_P5
61666,i-nlsp,sv_P2
4741,compaq-peer,sv_P1
64037,vmtp,sv_P5
59459,cphb,sv_P2
3840,ipv6-nonxt,sv_P3
28783,ipcv,sv_P2
28230,secure-vmtp,sv_P1
1492,cphb,sv_P2
16395,ethernet,sv_P5
15449,manet,sv_P3
26959,argus (deprecated),sv_P4
20088,ifmp,sv_P3
76,ipv6-nonxt,sv_P2
19831,iso-tp4,sv_P3
58704,aris,email
43899,eigrp,sv_P2
30470,sscopmce,sv_P2
48696,gmtp,sv_P4
23232,a/n,sv_P5
5462,ipv6-nonxt,email
49948,vmtp,email
30456,crtp,sv_P5
12381,rvd,sv_P1
35533,ah,email
31882,ifmp,email
24987,vines,email
35273,mux,sv_P1
60720,eigrp,email
24720,dcn-meas,sv_P2
28200,scc-sp,sv_P4
62876,skip,sv_P2
46326,iso-ip,sv_P3
64426,cbt,sv_P3
45753,compaq-peer,sv_P1
46701,gre,sv_P3
16612,idrp,sv_P4
26560,wb-expak,email
5525,cpnx,sv_P2
10474,iso-tp4,sv_P4
45910,scps,sv_P2
8024,tp++,sv_P1
56096,vrrp,sv_P2
64498,sprite-rpc,sv_P1
41127,ddp,sv_P2
3032,ipcomp,sv_P2
9158,rsvp-e2e-ignore,email
4034,sps,sv_P1
8942,aris,sv_P5
24356,kryptolan,sv_P3
37028,gre,sv_P4
58160,crudp,sv_P5
17343,fc,email
27746,pgm,sv_P2
9307,ax.25,sv_P2
40341,nsfnet-igp,sv_P3
6595,l2tp,sv_P5
9147,wb-expak,sv_P1
63734,rohc,email
52023,rvd,sv_P2
13789,nvp-ii,sv_P1
9011,cftp,sv_P5
50227,pup,sv_P4
58114,xtp,sv_P1
26257,iso-tp4,sv_P4
42889,merit-inp,sv_P2
51440,rsvp-e2e-ignore,email
2360,trunk-2,sv_P4
41032,mux,sv_P2
26247,rsvp-e2e-ignore,sv_P4
62749,sprite-rpc,sv_P2
51982,argus (deprecated),sv_P5
31354,wesp,sv_P3
54706,ethernet,sv_P4
13867,wb-mon,sv_P4
42127,ipv6-opts,sv_P2
12038,dgp,sv_P1
35610,ipcomp,email
33786,sdrp,sv_P2
33737,pim,email
46883,mfe-nsp,sv_P2
831,ipv6-nonxt,sv_P5
9929,gre,sv_P1
4516,mtp,sv_P1
24672,sctp,sv_P2
37763,swipe (deprecated),sv_P5
28226,nsfnet-igp,sv_P5
26746,sprite-rpc,email
34502,ospfigp,email
38098,larp,sv_P5
63225,ippc,sv_P5
25117,isis over ipv4,sv_P5
55662,il,sv_P2
9619,secure-vmtp,email
29962,srp,sv_P3
45535,skip,sv_P1
19478,tcp,email
8600,rdp,sv_P4
56417,shim6,sv_P1
46519,prm,email
26562,icmp,sv_P4
62033,ipcomp,email
37368,ddx,sv_P3
46670,sps,sv_P4
61664,cpnx,sv_P2
17279,,sv_P5
12277,rvd,email
15040,pup,email
23716,dccp,sv_P5
30259,l2tp,sv_P1
24788,,email
3785,xns-idp,sv_P2
61437,trunk-2,sv_P1
57043,rvd,sv_P4
58012,iso-tp4,sv_P1
11985,iso-ip,sv_P5
3467,scps,sv_P4
46433,ddp,sv_P5
3766,cpnx,sv_P2
10113,pnni,sv_P2
35830,visa,sv_P1
37900,ospfigp,sv_P5
40640,sm (deprecated),sv_P5
31090,encap,email
19405,xns-idp,sv_P4
54043,manet,sv_P2
64339,idpr,sv_P3
41632,shim6,email
14497,cftp,sv_P3
58937,,sv_P4
6705,ipv4,sv_P5
5299,wesp,sv_P3
44581,tcp,sv_P4
4148,dcn-meas,email
5542,wesp,sv_P1
24219,dcn-meas,sv_P5
9482,rdp,sv_P2
44907,ddp,sv_P1
39669,iso-tp4,sv_P2
53304,st,sv_P3
51749,merit-inp,sv_P2
57891,emcon,sv_P1
38638,visa,sv_P5
8667,st,sv_P1
8664,ipv6,sv_P3
24461,sdrp,sv_P2
24801,vrrp,sv_P5
42099,mux,sv_P4
5791,cbt,sv_P1
20006,smp,sv_P5
12491,fc,email
1362,a/n,sv_P5
9676,ipv4,email
494,wb-expak,email
60965,icmp,email
61323,uti,sv_P2
13538,sdrp,sv_P2
34445,iplt,sv_P5
31899,iatp,sv_P3
7119,idpr,sv_P2
19964,hmp,sv_P1
58765,sctp,sv_P2
25706,3pc,email
27331,snp,sv_P2
51435,ipv6,email
21447,irtp,sv_P5
27921,snp,sv_P1
53956,ifmp,sv_P1
36854,etherip,sv_P5
36369,iatp,sv_P1
54670,aggfrag,sv_P2
17160,mpls-in-ip,sv_P2
1056,3pc,sv_P3
16968,br-sat-mon,sv_P5
26585,min-ipv4,sv_P4
32017,cpnx,sv_P3
12930,ipv6-route,email
64993,fire,sv_P3
3954,udplite,sv_P2
58196,hmp,email
20441,irtp,sv_P5
23272,ptp,sv_P1
38082,mtp,email
51122,min-ipv4,email
44977,scps,sv_P5
23312,scps,sv_P2
4879,cpnx,sv_P5
44066,bbn-rcc-mon,sv_P1
12886,,email
48897,bbn-rcc-mon,sv_P2
24805,mpls-in-ip,email
50612,ifmp,sv_P1
21230,igmp,sv_P4
56179,ipx-in-ip,sv_P5
29674,sscopmce,sv_P5
1383,nvp-ii,sv_P5
45621,fire,email
22971,iatp,email
17861,vmtp,sv_P2
12654,ipx-in-ip,sv_P3
50961,ddp,sv_P2
172,il,email
65246,3pc,sv_P5
45119,ptp,sv_P5
22589,pvp,sv_P4
40097,pvp,sv_P3
62191,rdp,sv_P1
11819,ipcomp,sv_P1
7532,pgm,sv_P5
24822,,sv_P5
28250,xtp,sv_P3
6688,dcn-meas,sv_P1
30942,ipv6-route,sv_P4
13211,min-ipv4,sv_P1
48832,etherip,sv_P3
56129,bbn-rcc-mon,sv_P5
53462,trunk-1,sv_P1
19069,rohc,email
58089,tcp,sv_P2
43409,etherip,sv_P5
36416,sat-expak,sv_P3
21657,ipip,sv_P3
41107,tlsp,sv_P3
15044,mtp,sv_P4
20574,l2tp,sv_P1
50359,il,sv_P5
65176,bbn-rcc-mon,email
47424,nsh,sv_P2
347,manet,sv_P3
63766,xns-idp,sv_P5
56250,hopopt,sv_P1
28442,i-nlsp,email
2871,crtp,sv_P4
40638,,sv_P1
29549,a/n,email
6128,tp++,sv_P2
34885,ipv6,sv_P2
14642,bna,email
36441,mtp,sv_P4
54086,pvp,sv_P1
56974,tlsp,email
24410,pup,sv_P3
26203,fire,sv_P5
34287,idpr-cmtp,sv_P3
37286,trunk-2,sv_P4
48921,bbn-rcc-mon,sv_P3
15306,idpr-cmtp,email
39299,ethernet,sv_P5
64633,,email
16493,leaf-1,sv_P2
35107,sprite-rpc,sv_P4
27507,cbt,sv_P2
60469,narp,sv_P4
27410,udp,sv_P2
10782,crtp,sv_P2
14460,cpnx,email
21201,pim,sv_P1
65258,secure-vmtp,email
17629,ethernet,sv_P2
1333,iatp,sv_P5
58595,rohc,sv_P5
44529,leaf-1,sv_P3
36512,etherip,sv_P3
52338,ipx-in-ip,sv_P1
52672,igmp,sv_P2
26929,udp,sv_P4
7025,netblt,sv_P2
3282,scps,sv_P1
39428,bna,sv_P5
56093,uti,email
25468,emcon,sv_P1
62749,igmp,sv_P1
8499,pup,sv_P5
56996,rdp,email
46688,sprite-rpc,sv_P4
51972,hmp,sv_P5
15183,ipv6-opts,email
32198,pipe,sv_P5
32911,mobility header,sv_P4
28351,ipcomp,sv_P2
62620,swipe (deprecated),sv_P5
13593,udplite,sv_P1
27498,larp,sv_P5
7396,srp,sv_P1
90,,sv_P3
62380,eigrp,sv_P5
17487,sprite-rpc,sv_P3
26338,fire,sv_P4
28599,kryptolan,sv_P3
34402,crudp,sv_P4
19426,dsr,sv_P4
40755,sps,sv_P5
49249,rsvp,sv_P5
45320,nvp-ii,sv_P3
39170,prm,sv_P4
31749,ipx-in-ip,sv_P4
35900,srp,sv_P5
38504,ipv6,sv_P5
9738,ipv6-frag,sv_P2
64321,min-ipv4,sv_P3
37487,fc,sv_P5
9512,ipcomp,email
46840,sps,sv_P3
58829,narp,sv_P5
14484,narp,email
33177,,sv_P4
2473,ipip,sv_P3
36538,skip,sv_P4
54934,nsfnet-igp,sv_P4
43270,xns-idp,sv_P2
8387,hopopt,sv_P5
55519,mux,sv_P1
47817,ipv6-route,sv_P4
57282,smp,sv_P2
56230,kryptolan,sv_P2
3821,dgp,sv_P2
14198,encap,sv_P3
63955,trunk-2,sv_P5
65265,vines,sv_P1
8155,ipv6,sv_P1
23566,ptp,sv_P2
7267,leaf-2,email
22636,nsfnet-igp,sv_P3
57932,srp,sv_P2
60384,cftp,sv_P3
13252,cftp,email
8270,sat-expak,sv_P2
5619,ipv6,sv_P4
63540,smp,sv_P5
3754,gmtp,sv_P1
45395,br-sat-mon,sv_P4
1764,leaf-2,sv_P5
62981,hip,email
25096,larp,email
56472,a/n,sv_P4
24684,pgm,sv_P3
29038,visa,sv_P5
39789,wesp,sv_P5
17282,tlsp,sv_P2
34077,icmp,sv_P4
